1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
150	what year does hitler die?	2657	adolf hitler --> book subject works --> [u'Mein Kampf', u'Anne Frank: The Biography', u"The Hitler Book: The Secret Dossier Prepared for Stalin from the Interrogations of Otto Guensche and Heinze Linge, Hitler's Closest Personal Aides", u'Hitler And Stalin: Parallel Lives', u'Hitler, 1889-1936: Hubris']	101	adolf hitler --> military command military combatant --> [u'Nazi Germany']	271
151	who is dirk nowitzki wife?	414	dirk nowitzki --> marriage spouse --> [u'Jessica Olsson']	0	dirk nowitzki --> marriage spouse --> [u'Jessica Olsson']	0
152	what money does spain use?	11672	spain --> country currency used --> [u'Euro']	12	spain --> country currency used --> [u'Euro']	12
154	who are china's neighbors?	36184	china --> adjoining relationship adjoins --> [u'Nepal', u'Japan', u'India', u'Russia', u'Kazakhstan']	5069	china --> adjoining relationship adjoins --> [u'Nepal', u'Japan', u'India', u'Russia', u'Kazakhstan']	5069
155	where is walton county ga?	104	walton county --> location containedby --> [u'Georgia', u'Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area']	5	walton county --> location containedby --> [u'Georgia', u'Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area']	5
156	which island is kailua on?	848	kailua --> location containedby --> [u'United States of America', u'Hawaii County', u'Honolulu County', u'Hawaii', u'Oahu']	16	kailua --> location containedby --> [u'United States of America', u'Hawaii County', u'Honolulu County', u'Hawaii', u'Oahu']	16
157	where did madonna grew up?	1563	madonna --> place lived location --> [u'New York City', u'Detroit', u'England', u'Bay City']	11	madonna --> person place of birth --> [u'Bay City']	4
158	where did al qaeda attack?	394	al-qaeda --> military combatant group conflict --> [u'Battle of Mogadishu', u'Battle of Wana', u'Operation Rah-e-Nijat', u'Islamic insurgency in the Philippines', u'Second Battle of Swat']	1	al-qaeda --> book subject works --> [u"Seeds of Terror: An Eyewitness Account of Al-Qaeda's Newest Center of Operations in Southeast Asia", u'Al-Qaeda', u"What Death of Osama Bin Laden Indicates About Barack Obama's Leadership", u'Osama: The Making of a Terrorist', u'Inside Al Qaeda: Global Network of Terror']	0
159	who plays knox overstreet?	0	knox overstreet --> performance actor --> [u'Josh Charles']	0	knox overstreet --> performance actor --> [u'Josh Charles']	0
160	where is electrolux based?	10	electrolux --> mailing address citytown --> [u'Stockholm']	0	electrolux --> phone sandbox service location --> [u'United States of America', u'Canada']	1
161	who has played lex luthor?	16	lex luthor --> performance actor --> [u'James Marsters', u'Kevin Spacey', u'Gene Hackman', u'Anthony LaPaglia', u'Chris Noth']	0	lex luthor --> regular tv appearance actor --> [u'Michael Rosenbaum']	10
162	where was st peter killed?	365	saint peter --> deceased person place of death --> [u'Rome']	26	saint peter --> deceased person place of death --> [u'Rome']	26
163	what did thomas hobbes do?	230	thomas hobbes --> philosopher interests --> [u'Political philosophy', u'Ethics']	0	thomas hobbes --> author works written --> [u'Human Nature and DeCorpore Politico', u"Thomas White's De mundo examined", u'Elementos De Derecho Natural Y Politico', u'Leviathan', u'The Jewel Box Garden']	79
164	who played alf on tv show?	110	alf --> regular tv appearance actor --> [u'Liz Sheridan', u'Andrea Elson', u'Max Wright', u'Benji Gregory', u'John LaMotta']	9	alf --> tv producer term producer --> [u'Lorimar-Telepictures', u'Bernie Brillstein', u'Paul Fusco']	8
165	where do italy people live?	22002	italy --> book subject works --> [u'The Charterhouse of Parma', u'The Nature of Blood', u'Seventeenth-century Italian prints', u'The Mafia', u'Time at War']	0	italy --> country capital --> [u'Rome']	2105
166	where did jay moriarty die?	5	jay moriarty --> deceased person place of death --> [u'Maldives']	0	jay moriarty --> deceased person place of death --> [u'Maldives']	0
167	what does julian lennon do?	40	julian lennon --> person profession --> [u'Singer-songwriter', u'Actor', u'Guitarist', u'Musician', u'Singer']	0	julian lennon --> performance film --> [u"Hail! Hail! Rock 'n' Roll", u'David Copperfield']	2
168	what did thomas malthus do?	32	thomas robert malthus --> person profession --> [u'Scientist', u'Economist', u'Mathematician', u'Demographer']	0	thomas robert malthus --> person profession --> [u'Scientist', u'Economist', u'Mathematician', u'Demographer']	0
169	where was terry waite born?	0	terry waite --> person place of birth --> [u'Bollington']	0	terry waite --> person place of birth --> [u'Bollington']	0
170	where is perpignan located?	79	perpignan --> location containedby --> [u'France', u'Languedoc-Roussillon', u'Pyr\xe9n\xe9es-Orientales']	54	perpignan --> location containedby --> [u'France', u'Languedoc-Roussillon', u'Pyr\xe9n\xe9es-Orientales']	54
172	who was demi lovato dating?	217	demi lovato --> dated participant --> [u'Joe Jonas', u'Cody Linley', u'Nick Braun']	11	demi lovato --> romantic relationship celebrity --> [u'Joe Jonas']	11
173	where do flemish come from?	0	EMPTY	0	comefrom --> object name --> [u'COMEFROM']	0
174	where do they speak german?	51881	german language --> human language countries spoken in --> [u'Belgium', u'Germany', u'Luxembourg', u'Switzerland', u'Canada']	542	german language --> human language main country --> [u'Germany']	383
175	what did elliot stabler do?	28	elliot stabler --> fictional employment tenure employer --> [u'Law & Order: Special Victims Unit', u'New York City Police Department']	5	elliot stabler --> regular tv appearance actor --> [u'Christopher Meloni']	16
176	where did thomas paine die?	100	thomas paine --> deceased person place of death --> [u'New York City']	1	thomas paine --> deceased person place of death --> [u'New York City']	1
177	where is byron nelson 2012?	3	byron nelson --> deceased person place of death --> [u'Roanoke']	0	byron nelson --> person place of birth --> [u'Waxahachie']	1
178	where is bob marley buried?	147	bob marley --> deceased person place of burial --> [u'Bob Marley Mausoleum']	0	bob marley --> deceased person place of death --> [u'Miami']	1
179	who played elaine the pain?	162	elaine benes --> regular tv appearance actor --> [u'Julia Louis-Dreyfus']	39	elaine benes --> fictional character character created by --> [u'Larry David', u'Jerry Seinfeld', u'Carol Leifer']	11
180	who does japan import from?	16393	japan --> imports and exports imported from --> [u'United States of America', u'Canada', u'Sudan', u'Tanzania', u'New Zealand']	2318	japan --> government position held office holder --> [u'Hayato Ikeda', u'Yasuhiro Nakasone', u'Kakuei Tanaka', u'Shintaro Ishihara', u'Ichir\u014d Hatoyama']	3
181	how many mary mary sisters?	49	mary mary --> group membership member --> [u'Erica Campbell', u'Tina Campbell']	0	mary mary --> award honor award winner --> [u'Manny Marroquin', u'Warryn Campbell']	7
182	who is president of israel?	11568	president of israel --> government position held office holder --> [u'Chaim Herzog', u'Zalman Shazar', u'Yitzhak Navon', u'Shimon Peres', u'Ephraim Katzir']	98	president of israel --> government position held office holder --> [u'Chaim Herzog', u'Zalman Shazar', u'Yitzhak Navon', u'Shimon Peres', u'Ephraim Katzir']	98
183	what did john irving wrote?	146	john irving --> author works written --> [u'A Widow for One Year', u'A Sound Like Someone Trying Not to Make a Sound', u'Until I Find You', u'The Hotel New Hampshire', u'Setting Free the Bears']	19	john irving --> author works written --> [u'A Widow for One Year', u'A Sound Like Someone Trying Not to Make a Sound', u'Until I Find You', u'The Hotel New Hampshire', u'Setting Free the Bears']	19
184	when did the lakers 3 peat?	1239	los angeles lakers --> award nomination year --> [u'1993', u'2000', u'2002', u'2003', u'2004']	0	los angeles lakers --> sports team championships --> [u'1988 NBA Finals', u'2009 NBA Finals', u'1985 NBA Finals', u'1982 NBA Finals', u'1987 NBA Finals']	33
185	what language brazil speak?	8289	brazil --> country languages spoken --> [u'Italian Language', u'Brazilian Portuguese', u'Portuguese Language']	326	brazil --> country languages spoken --> [u'Italian Language', u'Brazilian Portuguese', u'Portuguese Language']	326
186	who does lee clark manager?	93	lee clark --> football team management tenure team --> [u'Birmingham City F.C.', u'Huddersfield Town F.C.']	9	manager --> baseball position players --> [u'Joe Maddon', u'Yogi Berra', u'Jimmy Williams', u'Buck Showalter', u'Davey Johnson']	4
187	where is taylor swift from?	331	taylor swift --> person place of birth --> [u'Reading']	1	taylor swift --> place lived location --> [u'Wyomissing']	2
188	where obama went to school?	4946	barack obama --> education institution --> [u'Columbia University', u'Occidental College', u'Punahou School', u'Harvard Law School', u'State Elementary School Menteng 01']	23	barack obama --> education institution --> [u'Columbia University', u'Occidental College', u'Punahou School', u'Harvard Law School', u'State Elementary School Menteng 01']	23
189	who plays blaine in batman?	6586	EMPTY	0	batman --> performance actor --> [u'Kevin Conroy', u'Val Kilmer', u'Michael Keaton', u'Will Friedle', u'Will Arnett']	33
190	where is laos in world map?	9722	laos --> adjoining relationship adjoins --> [u'Thailand', u'China', u'Cambodia', u'Vietnam']	1532	laos --> countries continent --> [u'Asia']	23
191	what county is utica ny in?	2663	utica --> location containedby --> [u'New York', u'Oneida County']	27	utica --> location containedby --> [u'New York', u'Oneida County']	27
192	when is st joseph birthday?	589	EMPTY	0	saint joseph --> location contains --> [u'Missouri Western State University', u'Hillyard Technical Ctr.', u'Patee House', u'Patee Town Historic District', u'Robidoux Row']	13
193	where does sami yusuf live?	0	sami yusuf --> person nationality --> [u'United Kingdom']	0	sami yusuf --> place lived location --> [u'Tehran']	0
194	what jamaican money called?	0	EMPTY	0	money --> book subject works --> [u'The Millionaires: A Novel of the New South', u'Money: Whence It Came, Where It Went', u'The Passion-Driven Writer and the Digital-Age Literary Marketplace', u'Bunny money', u'Devil May Care']	0
195	what is the islamic belief?	0	EMPTY	0	belief --> object name --> [u'Belief']	0
196	where did alex chilton die?	26	alex chilton --> deceased person place of death --> [u'New Orleans']	0	alex chilton --> person place of birth --> [u'Memphis']	3
197	what company does nike own?	230	nike inc. --> organization relationship child --> [u'Converse Trading Co B.V.', u'Umbro International JV', u'Umbro International Holdings Ltd', u'Umbro Schweiz Ltd', u'NIKE Cortez']	0	nike inc. --> company brand relationship brand --> [u'Nike Tiempo', u'Nike']	0
198	who is judy garland father?	349	judy garland --> person parents --> [u'Ethel Marion Milne', u'Francis Avent Gumm']	0	judy garland --> dated participant --> [u'Artie Shaw', u'Gene Kelly', u'Farley Granger', u'Dirk Bogarde']	54
199	who did ben franklin marry?	423	benjamin franklin --> marriage spouse --> [u'Deborah Read']	10	benjamin franklin --> marriage spouse --> [u'Deborah Read']	10
200	where michael jackson from?	2933	michael jackson --> place lived location --> [u'California', u'Los Angeles', u'Bahrain', u'Gary', u'Neverland Ranch']	37	michael jackson --> person place of birth --> [u'Gary']	3
201	when was lucy lawless born?	23	lucy lawless --> person nationality --> [u'New Zealand']	2	lucy lawless --> place lived location --> [u'New Zealand']	2
202	who did kurt warner play 4?	304	kurt warner --> football historical roster position team --> [u'St. Louis Rams', u'New York Giants', u'Arizona Cardinals', u'Northern Iowa Panthers football', u'Amsterdam Admirals']	47	kurt warner --> sports team roster team --> [u'St. Louis Rams', u'New York Giants', u'Arizona Cardinals', u'Northern Iowa Panthers football', u'Amsterdam Admirals']	47
203	where is dwight howard now?	435	dwight howard --> sports team roster team --> [u'Los Angeles Lakers']	15	dwight howard --> person place of birth --> [u'Atlanta']	0
204	what country is dyson made?	160	dyson --> phone number service location --> [u'United Kingdom']	0	dyson --> mailing address citytown --> [u'Malmesbury']	2
205	who did kim richards marry?	17	kim richards --> marriage spouse --> [u'G. Monty Brinson', u'Gregg Davis', u'John Jackson']	0	kim richards --> marriage spouse --> [u'G. Monty Brinson', u'Gregg Davis', u'John Jackson']	0
206	who did darth vaders voice?	2688	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45
207	what do people speak in uk?	47212	united kingdom --> country languages spoken --> [u'English Language', u'Scots Language', u'Irish', u'Scottish Gaelic language', u'Welsh Language']	96	united kingdom --> country languages spoken --> [u'English Language', u'Scots Language', u'Irish', u'Scottish Gaelic language', u'Welsh Language']	96
208	where bin laden got killed?	487	osama bin laden --> deceased person place of death --> [u'Abbottabad']	26	osama bin laden --> place lived location --> [u'Saudi Arabia', u'Pakistan', u'Sudan', u'Afghanistan']	108
209	what happened at chernobyl?	65	chernobyl disaster --> disaster type of disaster --> [u'Industrial disaster', u'Nuclear accident']	0	chernobyl disaster --> disaster type of disaster --> [u'Industrial disaster', u'Nuclear accident']	0
210	where all did picasso live?	626	pablo picasso --> place lived location --> [u'France', u'M\xe1laga']	3	pablo picasso --> place lived location --> [u'France', u'M\xe1laga']	3
211	what is lawton ok zip code?	340	lawton --> citytown postal codes --> [u'73501', u'73505', u'73507', u'73506', u'73502']	0	lawton --> citytown postal codes --> [u'73501', u'73505', u'73507', u'73506', u'73502']	0
